subscription_id,account_id,start_date,end_date,plan_tier_x,seats_x,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag_x,billing_frequency,auto_renew_flag,still_active,account_name,industry,country,signup_date,referral_source,plan_tier_y,seats_y,is_trial_y,churn_flag_y,total_usage_count,avg_usage_duration_secs,total_error_count,unique_features_used,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,total_tickets,avg_resolution_time_hours
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,False,Company_224,DevTools,UK,2023-08-26,event,Pro,1,False,False,63.0,4403.0,2.0,6.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,33.25
S-0f6f44,A-9b9fe9,2024-06-11,2099-01-01,Pro,17,833,9996,False,False,False,False,monthly,True,True,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,36.0,1704.75,6.0,4.0,C-8e5c25,2023-12-27,features,27.92,False,False,False,too expensive,4.0,33.5
S-51c0d1,A-659280,2024-11-25,2099-01-01,Enterprise,62,0,0,True,True,False,False,annual,False,True,Company_417,FinTech,IN,2023-11-17,event,Enterprise,13,True,True,25.0,4625.666666666667,2.0,3.0,C-921335,2024-07-23,features,0.0,False,False,False,too expensive,4.0,8.0
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,False,Company_295,Cybersecurity,US,2024-06-23,event,Enterprise,3,False,False,65.0,3277.5714285714284,5.0,7.0,C-f5a863,2024-09-30,budget,6.2,False,False,True,NaN,1.0,45.0
S-cff5a2,A-ba6516,2024-01-10,2099-01-01,Enterprise,27,5373,64476,False,False,False,False,monthly,True,True,Company_154,FinTech,US,2023-10-29,ads,Pro,27,False,False,48.0,2997.25,2.0,5.0,C-b411ad,2024-03-17,budget,0.0,False,False,False,NaN,6.0,31.5
S-4b9b13,A-fa2041,2024-08-13,2099-01-01,Pro,15,735,8820,False,False,False,False,monthly,True,True,Company_211,HealthTech,US,2024-05-29,organic,Pro,15,True,False,49.0,2516.2,2.0,5.0,C-21efb6,2024-07-13,competitor,0.0,False,False,False,switched to competitor,1.0,16.0
S-dceac6,A-417d2f,2023-12-30,2099-01-01,Enterprise,4,796,9552,False,False,False,False,annual,True,True,Company_285,Cybersecurity,IN,2023-07-04,partner,Pro,4,True,False,33.0,4643.0,2.0,3.0,C-e4261a,2024-12-30,budget,0.0,False,False,False,missing features,6.0,43.5
S-8cad7b,A-5f2961,2024-12-23,2099-01-01,Basic,16,304,3648,False,False,False,False,annual,True,True,Company_284,HealthTech,US,2024-11-22,partner,Basic,4,False,False,39.0,4748.333333333333,2.0,2.0,C-258ade,2024-11-28,pricing,6.6,False,False,False,switched to competitor,1.0,53.0
S-24796e,A-cc8c8f,2024-11-27,2099-01-01,Enterprise,23,4577,54924,False,False,False,False,annual,False,True,Company_482,DevTools,US,2024-06-16,ads,Enterprise,23,False,False,61.0,2128.8333333333335,3.0,6.0,C-64ba8a,2024-09-12,budget,0.0,True,False,False,missing features,2.0,14.5
S-d0c344,A-80eeb6,2024-10-27,2099-01-01,Pro,22,1078,12936,False,False,False,False,annual,False,True,Company_402,Cybersecurity,UK,2023-05-09,organic,Enterprise,22,False,False,67.0,3033.625,8.0,7.0,C-5f203c,2024-02-09,budget,0.0,False,False,False,too expensive,4.0,40.25
S-477506,A-f03140,2024-02-06,2099-01-01,Pro,27,1323,15876,False,False,False,False,annual,True,True,Company_209,DevTools,IN,2023-11-22,event,Pro,27,True,False,93.0,3667.4444444444443,6.0,9.0,C-ab36fc,2024-10-03,competitor,0.0,False,False,False,missing features,7.0,36.0
S-79a9e1,A-3a5ad8,2024-12-25,2099-01-01,Enterprise,22,0,0,True,False,False,False,annual,True,True,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,14.0,2018.0,0.0,2.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,44.75
S-59dc4b,A-f17767,2023-09-17,2099-01-01,Pro,26,1274,15288,False,True,True,False,monthly,True,True,Company_123,DevTools,US,2023-01-30,event,Enterprise,1,True,True,67.0,5837.666666666667,6.0,6.0,C-05224a,2023-05-03,pricing,0.0,True,False,False,NaN,3.0,36.333333333333336
S-7acd8b,A-7920cc,2024-07-17,2099-01-01,Basic,39,741,8892,False,False,False,False,annual,True,True,Company_412,Cybersecurity,FR,2023-11-23,ads,Pro,39,False,False,66.0,2514.0,1.0,5.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,7.0,32.857142857142854
S-428e9a,A-8ae3fc,2024-10-12,2099-01-01,Enterprise,88,0,0,True,False,False,False,monthly,True,True,Company_495,DevTools,CA,2024-06-28,ads,Pro,9,False,False,37.0,3982.25,4.0,4.0,C-499165,2024-08-10,budget,0.0,False,False,False,NaN,4.0,39.5
S-486088,A-0cc442,2024-09-18,2099-01-01,Pro,45,2205,26460,False,False,False,False,monthly,True,True,Company_198,EdTech,US,2024-07-18,organic,Basic,45,False,False,75.0,3293.875,2.0,6.0,C-020446,2024-10-06,unknown,0.0,True,False,True,switched to competitor,3.0,37.0
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,False,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34,False,False,91.0,2774.4,7.0,9.0,C-66c9fe,2024-12-07,features,0.0,False,False,False,NaN,9.0,40.888888888888886
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,False,Company_274,EdTech,US,2024-03-01,partner,Enterprise,8,False,False,50.0,4619.0,1.0,4.0,C-4b854f,2024-09-28,pricing,0.0,True,False,True,too expensive,5.0,34.8
S-37e3ad,A-b30291,2024-04-25,2099-01-01,Basic,5,95,1140,False,False,False,False,monthly,True,True,Company_344,HealthTech,US,2024-04-05,event,Basic,5,True,True,19.0,2858.0,0.0,2.0,C-2fc9c4,2024-09-03,competitor,277.54,False,True,False,too expensive,1.0,16.0
S-b17d04,A-e19ff6,2024-03-06,2099-01-01,Pro,8,392,4704,False,False,False,False,monthly,True,True,Company_411,Cybersecurity,UK,2023-07-28,partner,Enterprise,1,False,False,32.0,2280.25,6.0,4.0,C-3bf203,2024-06-27,competitor,0.0,False,False,False,switched to competitor,3.0,30.666666666666668
S-c27134,A-dec005,2024-03-31,2099-01-01,Pro,21,0,0,True,False,False,False,monthly,True,True,Company_445,HealthTech,US,2023-10-13,partner,Pro,21,False,False,33.0,2946.6666666666665,2.0,3.0,C-573a5c,2024-11-23,support,0.0,False,False,False,missing features,2.0,59.0
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,False,Company_108,FinTech,CA,2023-08-13,other,Pro,61,False,False,29.0,2069.25,0.0,4.0,C-6c63bc,2024-03-30,features,0.0,False,False,False,missing features,5.0,31.4
S-82989b,A-f5641b,2024-11-30,2099-01-01,Basic,31,589,7068,False,False,False,False,monthly,True,True,Company_382,EdTech,US,2024-03-30,other,Pro,31,False,False,35.0,3858.0,1.0,3.0,C-3bac11,2024-04-20,pricing,0.0,False,False,False,too expensive,4.0,47.5
S-082b15,A-aa9511,2024-02-09,2099-01-01,Enterprise,97,19303,231636,False,False,False,False,annual,True,True,Company_203,DevTools,US,2023-10-10,other,Pro,23,True,False,15.0,2080.5,0.0,2.0,C-e601dc,2023-10-17,competitor,0.0,False,False,False,NaN,2.0,56.5
S-434140,A-075038,2024-02-25,2099-01-01,Pro,17,833,9996,False,False,False,False,annual,True,True,Company_397,HealthTech,UK,2023-05-12,ads,Basic,17,False,False,77.0,3293.5714285714284,5.0,7.0,C-370962,2024-09-05,features,6.38,False,False,False,NaN,2.0,43.5
S-c07ede,A-cea1f0,2024-10-07,2099-01-01,Pro,8,392,4704,False,False,False,False,annual,False,True,Company_273,FinTech,US,2024-04-07,event,Pro,8,False,True,24.0,1977.0,1.0,2.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,5.0,42.2
S-287914,A-a1b80b,2024-08-15,2099-01-01,Pro,16,784,9408,False,False,False,False,annual,True,True,Company_184,HealthTech,US,2023-11-27,organic,Basic,16,False,False,67.0,2185.0,6.0,6.0,C-d33672,2024-07-11,budget,12.99,False,False,True,switched to competitor,4.0,41.0
S-b3bd43,A-b2225d,2024-11-03,2099-01-01,Pro,50,2450,29400,False,False,False,False,monthly,False,True,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,84.0,3127.1111111111113,8.0,9.0,C-16ddba,2024-05-16,support,0.0,True,False,False,switched to competitor,2.0,42.0
S-4c82da,A-b9eed8,2024-08-01,2099-01-01,Pro,11,539,6468,False,False,False,False,monthly,False,True,Company_189,Cybersecurity,US,2024-02-23,organic,Basic,11,False,False,59.0,2400.5,6.0,6.0,C-8d2bf5,2024-04-23,pricing,0.0,True,False,True,switched to competitor,5.0,29.2
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,False,Company_288,FinTech,US,2024-06-27,event,Pro,10,False,True,73.0,2323.0,5.0,7.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,2.0,63.0
S-b5643b,A-9f9299,2024-06-11,2099-01-01,Enterprise,28,5572,66864,False,False,False,False,annual,False,True,Company_133,FinTech,US,2023-09-02,organic,Enterprise,28,True,False,58.0,2887.0,6.0,6.0,C-1965c1,2024-10-08,competitor,0.0,False,False,False,NaN,5.0,36.2
S-49a9aa,A-10b8f2,2023-06-16,2099-01-01,Basic,51,969,11628,False,False,False,False,annual,True,True,Company_151,HealthTech,DE,2023-01-11,organic,Basic,47,True,False,21.0,997.5,2.0,2.0,C-577ffa,2024-06-04,support,0.0,True,False,False,too expensive,3.0,46.333333333333336
S-2877e6,A-95b24a,2024-06-28,2099-01-01,Enterprise,38,0,0,True,True,True,False,monthly,True,True,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,59.0,2487.1428571428573,1.0,6.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,5.0,21.2
S-8c10c1,A-0651a4,2024-12-25,2099-01-01,Enterprise,65,12935,155220,False,False,False,False,annual,True,True,Company_255,HealthTech,FR,2024-10-16,organic,Pro,16,False,False,49.0,3422.25,5.0,4.0,C-8a2d9d,2024-11-22,features,0.0,False,True,False,missing features,4.0,29.25
S-d7d398,A-fb186e,2024-12-28,2099-01-01,Enterprise,29,0,0,True,False,False,False,annual,True,True,Company_131,EdTech,IN,2024-10-27,organic,Basic,29,False,False,124.0,3086.6666666666665,3.0,10.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,6.0,26.166666666666668
S-ddad91,A-40906c,2024-06-21,2099-01-01,Enterprise,92,0,0,True,False,False,False,annual,False,True,Company_235,EdTech,US,2024-03-27,ads,Basic,92,False,False,89.0,3842.5714285714284,0.0,7.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,5.0,29.2
S-6762fa,A-40a557,2024-02-12,2099-01-01,Enterprise,16,3184,38208,False,False,False,False,annual,True,True,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,61.0,3090.8333333333335,2.0,6.0,C-9776b7,2023-12-08,budget,0.0,False,False,False,switched to competitor,7.0,30.571428571428573
